symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2025.12.05 00:00	4H	4208.37	4210.61	4194.84	4203.07
XAUUSD	2025.12.05 04:00	4H	4202.94	4221.26	4196.74	4220.47
XAUUSD	2025.12.05 08:00	4H	4220.52	4230.71	4215.90	4223.32
XAUUSD	2025.12.05 12:00	4H	4223.25	4238.91	4220.04	4234.61
XAUUSD	2025.12.05 16:00	4H	4234.52	4259.10	4198.57	4217.67
XAUUSD	2025.12.05 20:00	4H	4217.21	4219.04	4191.89	4199.04
XAUUSD	2025.12.08 00:00	4H	4197.52	4211.73	4195.02	4201.21
XAUUSD	2025.12.08 04:00	4H	4200.88	4217.24	4198.56	4217.06
XAUUSD	2025.12.08 08:00	4H	4217.09	4218.82	4203.17	4207.96
XAUUSD	2025.12.08 12:00	4H	4207.85	4215.47	4197.85	4201.57
XAUUSD	2025.12.08 16:00	4H	4201.67	4211.46	4176.64	4194.83
XAUUSD	2025.12.08 20:00	4H	4195.51	4195.66	4184.20	4190.51
XAUUSD	2025.12.09 00:00	4H	4190.31	4197.22	4188.93	4196.10
XAUUSD	2025.12.09 04:00	4H	4196.09	4198.77	4178.18	4179.75
XAUUSD	2025.12.09 08:00	4H	4179.85	4213.24	4170.27	4202.97
XAUUSD	2025.12.09 12:00	4H	4203.29	4208.36	4195.91	4201.21
XAUUSD	2025.12.09 16:00	4H	4201.38	4221.43	4189.42	4202.97
XAUUSD	2025.12.09 20:00	4H	4202.96	4216.07	4201.32	4208.05
XAUUSD	2025.12.10 00:00	4H	4208.02	4218.06	4206.95	4213.81
XAUUSD	2025.12.10 04:00	4H	4213.67	4218.78	4201.81	4211.44
XAUUSD	2025.12.10 08:00	4H	4211.43	4211.63	4192.51	4194.43
XAUUSD	2025.12.10 12:00	4H	4194.30	4205.23	4187.98	4200.70
XAUUSD	2025.12.10 16:00	4H	4200.70	4207.01	4188.92	4199.76
XAUUSD	2025.12.10 20:00	4H	4199.77	4238.68	4182.08	4227.99
XAUUSD	2025.12.11 00:00	4H	4227.08	4247.63	4223.97	4238.43
XAUUSD	2025.12.11 04:00	4H	4238.35	4240.83	4206.17	4207.55
XAUUSD	2025.12.11 08:00	4H	4207.55	4221.58	4204.34	4218.49
XAUUSD	2025.12.11 12:00	4H	4218.50	4225.92	4205.37	4220.97
XAUUSD	2025.12.11 16:00	4H	4220.97	4281.83	4218.02	4278.68
XAUUSD	2025.12.11 20:00	4H	4278.68	4285.86	4263.16	4279.30
XAUUSD	2025.12.12 00:00	4H	4281.53	4283.67	4264.67	4271.06
XAUUSD	2025.12.12 04:00	4H	4271.06	4280.63	4266.07	4278.91
XAUUSD	2025.12.12 08:00	4H	4278.91	4320.29	4276.66	4318.26
XAUUSD	2025.12.12 12:00	4H	4318.26	4346.13	4314.74	4341.06
XAUUSD	2025.12.12 16:00	4H	4341.06	4353.51	4257.44	4294.25
XAUUSD	2025.12.12 20:00	4H	4294.25	4304.11	4288.64	4299.37
XAUUSD	2025.12.15 00:00	4H	4300.26	4325.68	4300.14	4322.60
XAUUSD	2025.12.15 04:00	4H	4322.52	4344.42	4319.33	4343.62
XAUUSD	2025.12.15 08:00	4H	4343.62	4350.24	4333.54	4342.70
XAUUSD	2025.12.15 12:00	4H	4342.70	4348.39	4330.80	4332.21
XAUUSD	2025.12.15 16:00	4H	4332.21	4336.73	4285.24	4304.37
XAUUSD	2025.12.15 20:00	4H	4304.38	4317.74	4299.49	4305.12
XAUUSD	2025.12.16 00:00	4H	4308.55	4317.86	4299.12	4308.79
XAUUSD	2025.12.16 04:00	4H	4308.84	4312.26	4271.54	4284.07
XAUUSD	2025.12.16 08:00	4H	4284.11	4292.16	4275.30	4280.46
XAUUSD	2025.12.16 12:00	4H	4280.47	4313.25	4273.83	4312.97
XAUUSD	2025.12.16 16:00	4H	4312.97	4335.08	4291.30	4303.58
XAUUSD	2025.12.16 20:00	4H	4303.57	4315.93	4297.29	4302.29
XAUUSD	2025.12.17 00:00	4H	4304.02	4326.79	4303.09	4326.72
XAUUSD	2025.12.17 04:00	4H	4326.72	4342.51	4311.18	4333.92
XAUUSD	2025.12.17 08:00	4H	4333.92	4337.70	4308.55	4316.91
XAUUSD	2025.12.17 12:00	4H	4316.90	4344.09	4306.58	4342.10
XAUUSD	2025.12.17 16:00	4H	4342.10	4349.03	4320.37	4342.45
XAUUSD	2025.12.17 20:00	4H	4342.46	4346.46	4328.87	4338.17
XAUUSD	2025.12.18 00:00	4H	4338.98	4342.95	4324.45	4331.61
XAUUSD	2025.12.18 04:00	4H	4331.61	4337.79	4328.56	4333.36
XAUUSD	2025.12.18 08:00	4H	4333.36	4337.74	4320.81	4323.52
XAUUSD	2025.12.18 12:00	4H	4323.52	4343.10	4314.64	4336.54
XAUUSD	2025.12.18 16:00	4H	4336.55	4374.63	4308.62	4333.34
XAUUSD	2025.12.18 20:00	4H	4333.34	4341.29	4322.84	4332.66
XAUUSD	2025.12.19 00:00	4H	4335.05	4336.06	4309.30	4323.23
XAUUSD	2025.12.19 04:00	4H	4323.24	4329.01	4312.67	4325.96
XAUUSD	2025.12.19 08:00	4H	4325.96	4333.65	4321.04	4329.44
XAUUSD	2025.12.19 12:00	4H	4329.44	4335.46	4320.69	4328.37
XAUUSD	2025.12.19 16:00	4H	4328.44	4355.94	4319.77	4353.47
XAUUSD	2025.12.19 20:00	4H	4353.47	4356.51	4336.47	4338.51
XAUUSD	2025.12.22 00:00	4H	4339.63	4384.83	4339.55	4382.98
XAUUSD	2025.12.22 04:00	4H	4382.98	4409.56	4378.56	4399.98
XAUUSD	2025.12.22 08:00	4H	4400.09	4420.46	4398.92	4411.09
XAUUSD	2025.12.22 12:00	4H	4411.09	4427.38	4406.09	4423.70
XAUUSD	2025.12.22 16:00	4H	4423.70	4442.21	4412.07	4438.54
XAUUSD	2025.12.22 20:00	4H	4438.53	4449.04	4428.90	4443.15
XAUUSD	2025.12.23 00:00	4H	4449.51	4490.89	4449.51	4486.67
XAUUSD	2025.12.23 04:00	4H	4486.67	4497.79	4474.93	4475.29
XAUUSD	2025.12.23 08:00	4H	4475.23	4493.26	4469.53	4480.43
XAUUSD	2025.12.23 12:00	4H	4480.43	4497.38	4473.32	4479.16
XAUUSD	2025.12.23 16:00	4H	4479.16	4479.92	4430.63	4472.75
XAUUSD	2025.12.23 20:00	4H	4472.75	4499.94	4472.75	4484.16
XAUUSD	2025.12.24 00:00	4H	4486.94	4525.94	4486.94	4518.82
XAUUSD	2025.12.24 04:00	4H	4518.82	4519.27	4468.29	4488.48
XAUUSD	2025.12.24 08:00	4H	4488.48	4497.99	4478.25	4494.73
XAUUSD	2025.12.24 12:00	4H	4494.72	4499.93	4474.62	4487.91
XAUUSD	2025.12.24 16:00	4H	4487.96	4489.45	4448.33	4480.64
XAUUSD	2025.12.24 20:00	4H	4480.64	4482.39	4477.25	4479.20
XAUUSD	2025.12.26 00:00	4H	4487.91	4531.30	4482.43	4503.88
XAUUSD	2025.12.26 04:00	4H	4503.88	4514.78	4492.50	4509.82
XAUUSD	2025.12.26 08:00	4H	4509.97	4520.47	4507.44	4512.75
XAUUSD	2025.12.26 12:00	4H	4512.75	4528.51	4503.02	4525.13
XAUUSD	2025.12.26 16:00	4H	4525.15	4549.92	4510.05	4519.06
XAUUSD	2025.12.26 20:00	4H	4519.10	4535.69	4514.89	4533.32
XAUUSD	2025.12.29 00:00	4H	4530.37	4530.37	4472.35	4497.15
XAUUSD	2025.12.29 04:00	4H	4497.14	4520.44	4496.21	4506.85
XAUUSD	2025.12.29 08:00	4H	4506.85	4510.70	4445.40	4472.09
XAUUSD	2025.12.29 12:00	4H	4472.09	4474.70	4407.03	4421.49
XAUUSD	2025.12.29 16:00	4H	4421.49	4421.49	4302.53	4328.16
