symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2026.02.12 20:00	4H	4941.07	4958.19	4906.53	4921.61
XAUUSD	2026.02.13 00:00	4H	4921.61	4988.75	4886.65	4980.82
XAUUSD	2026.02.13 04:00	4H	4980.82	4997.27	4944.91	4946.51
XAUUSD	2026.02.13 08:00	4H	4946.51	4989.65	4946.18	4970.36
XAUUSD	2026.02.13 12:00	4H	4970.37	4999.49	4933.76	4987.14
XAUUSD	2026.02.13 16:00	4H	4987.14	5034.03	4964.32	5021.07
XAUUSD	2026.02.13 20:00	4H	5021.08	5046.13	5015.44	5042.47
XAUUSD	2026.02.16 00:00	4H	5034.28	5043.86	5000.21	5028.92
XAUUSD	2026.02.16 04:00	4H	5028.94	5031.26	4965.56	4990.65
XAUUSD	2026.02.16 08:00	4H	4990.70	5017.25	4985.13	5013.54
XAUUSD	2026.02.16 12:00	4H	5013.54	5017.28	4989.63	4997.36
XAUUSD	2026.02.16 16:00	4H	4997.36	4999.60	4968.92	4991.77
XAUUSD	2026.02.16 20:00	4H	4991.83	4997.79	4988.64	4993.26
XAUUSD	2026.02.17 00:00	4H	4995.35	5001.03	4922.95	4957.88
XAUUSD	2026.02.17 04:00	4H	4957.88	4971.26	4859.08	4888.97
XAUUSD	2026.02.17 08:00	4H	4888.97	4932.66	4886.76	4926.04
XAUUSD	2026.02.17 12:00	4H	4926.04	4944.52	4870.19	4870.81
XAUUSD	2026.02.17 16:00	4H	4870.80	4907.30	4841.48	4865.15
XAUUSD	2026.02.17 20:00	4H	4865.18	4910.44	4862.61	4877.89
XAUUSD	2026.02.18 00:00	4H	4877.91	4892.76	4853.99	4889.95
XAUUSD	2026.02.18 04:00	4H	4889.97	4940.31	4886.49	4933.40
XAUUSD	2026.02.18 08:00	4H	4933.42	4942.32	4912.94	4917.45
XAUUSD	2026.02.18 12:00	4H	4917.46	4969.00	4906.40	4954.50
XAUUSD	2026.02.18 16:00	4H	4954.50	5011.10	4952.30	4999.26
XAUUSD	2026.02.18 20:00	4H	4999.26	5003.32	4972.97	4975.99
XAUUSD	2026.02.19 00:00	4H	4975.99	4988.89	4956.26	4973.17
XAUUSD	2026.02.19 04:00	4H	4973.17	4998.65	4965.96	4997.07
XAUUSD	2026.02.19 08:00	4H	4997.07	5022.11	4993.35	4995.73
XAUUSD	2026.02.19 12:00	4H	4995.73	4998.51	4971.82	4997.11
XAUUSD	2026.02.19 16:00	4H	4997.12	5022.24	4963.77	4984.87
XAUUSD	2026.02.19 20:00	4H	4984.87	5004.27	4975.30	4996.42
XAUUSD	2026.02.20 00:00	4H	4996.42	5014.96	4985.55	4997.07
XAUUSD	2026.02.20 04:00	4H	4997.10	5012.08	4981.58	5012.07
XAUUSD	2026.02.20 08:00	4H	5012.07	5042.68	5004.99	5027.70
XAUUSD	2026.02.20 12:00	4H	5027.70	5048.81	5006.95	5043.64
XAUUSD	2026.02.20 16:00	4H	5043.64	5076.42	4989.40	5072.99
XAUUSD	2026.02.20 20:00	4H	5072.97	5107.84	5054.04	5107.13
XAUUSD	2026.02.23 00:00	4H	5109.54	5171.88	5102.67	5157.56
XAUUSD	2026.02.23 04:00	4H	5157.53	5176.81	5151.92	5158.37
XAUUSD	2026.02.23 08:00	4H	5158.36	5161.71	5122.33	5149.56
XAUUSD	2026.02.23 12:00	4H	5149.58	5165.52	5143.78	5146.39
XAUUSD	2026.02.23 16:00	4H	5146.39	5219.09	5141.43	5207.93
XAUUSD	2026.02.23 20:00	4H	5207.94	5237.96	5201.13	5228.00
XAUUSD	2026.02.24 00:00	4H	5228.00	5249.76	5145.25	5177.43
XAUUSD	2026.02.24 04:00	4H	5177.43	5191.92	5160.85	5182.70
XAUUSD	2026.02.24 08:00	4H	5182.70	5184.89	5156.42	5171.51
XAUUSD	2026.02.24 12:00	4H	5171.51	5181.47	5110.98	5115.02
XAUUSD	2026.02.24 16:00	4H	5114.97	5163.81	5094.14	5163.81
XAUUSD	2026.02.24 20:00	4H	5163.81	5173.30	5140.49	5142.82
XAUUSD	2026.02.25 00:00	4H	5142.82	5190.02	5120.04	5176.99
XAUUSD	2026.02.25 04:00	4H	5176.99	5210.76	5166.64	5201.88
XAUUSD	2026.02.25 08:00	4H	5201.88	5201.93	5176.61	5193.32
XAUUSD	2026.02.25 12:00	4H	5193.32	5195.42	5155.27	5185.32
XAUUSD	2026.02.25 16:00	4H	5185.32	5217.80	5158.97	5206.86
XAUUSD	2026.02.25 20:00	4H	5206.96	5208.32	5146.34	5163.68
XAUUSD	2026.02.26 00:00	4H	5163.68	5198.32	5155.58	5191.78
XAUUSD	2026.02.26 04:00	4H	5191.77	5205.65	5174.25	5198.34
XAUUSD	2026.02.26 08:00	4H	5198.34	5199.60	5167.74	5186.47
